epoch,Ls,Lu,main_loss,train_psnr,val_psnr,val_psnr_eval,val_ssim_eval,lr
76,0.0847,1.0996,0.001625,24.959834,20.582763,20.7126,0.8807,0.0002
77,0.084,1.1217,0.001893,24.722493,20.52202,20.6949,0.8789,0.0002
78,0.0868,1.1473,0.001757,24.444271,20.785068,20.8318,0.8841,0.0002
79,0.0855,1.0857,0.001815,24.545289,20.535891,20.6421,0.8804,0.0002
80,0.0882,1.1212,0.001978,24.198005,21.179988,21.2367,0.8862,0.0002
81,0.086,1.089,0.002107,24.633533,20.776904,20.9278,0.8717,0.0002
82,0.0867,1.0341,0.002216,24.562367,20.81376,20.9696,0.8853,0.0002
83,0.0854,1.1358,0.002507,25.00676,20.761186,20.9337,0.8711,0.0002
84,0.0837,1.0541,0.002368,25.10379,20.4761,20.5994,0.883,0.0002
85,0.0851,1.0178,0.001981,24.785199,21.211354,21.3045,0.886,0.0002
86,0.0844,1.0589,0.002586,24.94383,20.829698,20.938,0.8804,0.0002
87,0.0886,1.1146,0.002001,24.365186,21.044628,21.1809,0.8853,0.0002
88,0.0835,1.1319,0.001863,24.587007,20.393013,20.5141,0.8787,0.0002
89,0.0834,1.1146,0.002279,25.068046,20.292493,20.4971,0.8713,0.0002
90,0.0828,1.0623,0.002287,25.361128,20.636543,20.7225,0.8826,0.0002
91,0.0847,1.1287,0.001967,24.609915,21.004898,21.0924,0.8862,0.0002
92,0.0824,1.0993,0.002275,25.012509,21.206334,21.2977,0.8816,0.0002
93,0.0788,1.0261,0.002646,25.423123,20.571886,20.6879,0.8845,0.0002
94,0.0841,1.1017,0.002166,24.889943,21.028294,21.1071,0.8863,0.0002
95,0.0815,0.9494,0.001525,25.056257,20.696505,20.8407,0.8807,0.0002
96,0.0827,1.1196,0.001915,24.960662,20.729661,21.0282,0.8622,0.0002
97,0.079,1.0649,0.002532,25.570876,20.908754,21.0208,0.8847,0.0002
98,0.0824,1.0235,0.002142,25.145955,20.557154,20.6907,0.8854,0.0002
99,0.0808,1.0901,0.002405,25.208141,20.677254,20.8386,0.8764,0.0002
100,0.0819,1.0692,0.002006,25.217935,20.831474,20.9653,0.8799,0.0002
101,0.0767,1.0733,0.002162,26.036275,21.043107,21.1811,0.8785,2e-05
102,0.077,1.1073,0.001955,25.884881,21.63346,21.7281,0.8861,2e-05
103,0.07,0.985,0.001697,27.015542,21.662264,21.7537,0.8879,2e-05
104,0.0663,0.9754,0.001811,27.297962,21.697214,21.7764,0.8892,2e-05
105,0.0648,0.9167,0.001335,27.495253,21.696801,21.7873,0.8886,2e-05
106,0.0642,0.9983,0.00273,27.574345,21.755274,21.828,0.8901,2e-05
107,0.0641,0.9329,0.001775,27.593746,21.716434,21.7957,0.89,2e-05
108,0.0641,0.9501,0.00193,27.787701,21.76775,21.8375,0.8896,2e-05
109,0.0633,0.9364,0.002258,27.76076,21.739623,21.8149,0.8902,2e-05
110,0.0631,0.955,0.001708,27.789573,21.757573,21.8283,0.8896,2e-05
111,0.062,0.9921,0.001813,27.843718,21.771764,21.835,0.8907,2e-05
112,0.0626,0.909,0.00138,27.895977,21.735832,21.799,0.8904,2e-05
113,0.0619,1.0142,0.002266,28.064069,21.684638,21.7651,0.89,2e-05
114,0.0627,0.9018,0.001624,27.991162,21.816627,21.8745,0.8912,2e-05
115,0.0607,0.9942,0.001862,28.257645,21.752729,21.8196,0.8904,2e-05
116,0.0614,0.9322,0.001882,28.060029,21.708038,21.7689,0.8904,2e-05
117,0.0613,0.962,0.002488,28.191469,21.708364,21.768,0.8911,2e-05
118,0.0613,0.9821,0.001679,28.079379,21.761168,21.8184,0.8909,2e-05
119,0.0613,0.9973,0.001523,28.111772,21.686908,21.7504,0.8905,2e-05
120,0.0617,0.9553,0.001439,28.161624,21.735332,21.7935,0.8904,2e-05
121,0.0609,0.9554,0.001268,28.178195,21.736474,21.7926,0.8905,2e-05
122,0.0612,0.9599,0.001702,28.14587,21.680714,21.7424,0.8898,2e-05
123,0.0608,0.8597,0.001542,28.326596,21.773563,21.8305,0.8906,2e-05
124,0.0607,0.9395,0.001768,28.209263,21.689661,21.7553,0.889,2e-05
125,0.0607,0.9077,0.001454,28.23004,21.710046,21.7692,0.8908,2e-05
126,0.0596,0.9238,0.002121,28.449281,21.736532,21.7971,0.8911,2e-05
127,0.0599,0.8924,0.002004,28.355478,21.758126,21.8076,0.8911,2e-05
128,0.0601,0.9028,0.001709,28.317696,21.662143,21.7239,0.8899,2e-05
129,0.0597,0.8491,0.00109,28.480356,21.747324,21.8067,0.8905,2e-05
130,0.0597,0.9391,0.001637,28.405418,21.710554,21.7779,0.8889,2e-05
131,0.059,0.9132,0.002005,28.462371,21.696903,21.7603,0.8893,2e-05
132,0.0588,0.9033,0.001496,28.579514,21.685121,21.7463,0.8902,2e-05
133,0.0587,0.91,0.001698,28.577691,21.724857,21.7797,0.8908,2e-05
134,0.059,0.8494,0.00165,28.509952,21.800257,21.8487,0.8914,2e-05
135,0.058,0.9636,0.002342,28.726679,21.759176,21.8154,0.89,2e-05
136,0.0586,0.8951,0.001747,28.608232,21.770533,21.8209,0.8903,2e-05
137,0.0589,0.9511,0.001759,28.435663,21.708975,21.7675,0.8893,2e-05
138,0.0584,0.844,0.001417,28.555718,21.770671,21.8216,0.8905,2e-05
139,0.0584,0.8743,0.001508,28.614757,21.695917,21.7522,0.8898,2e-05
140,0.059,0.8787,0.001976,28.467783,21.736815,21.798,0.8904,2e-05
141,0.0577,0.8289,0.001736,28.666831,21.688832,21.7493,0.8895,2e-05
142,0.0574,0.936,0.00141,28.682969,21.72288,21.7835,0.8902,2e-05
143,0.0584,0.8859,0.001877,28.535395,21.696961,21.7518,0.8899,2e-05
144,0.0577,0.9568,0.001411,28.668079,21.720283,21.7733,0.89,2e-05
145,0.0578,0.9128,0.002263,28.689388,21.696138,21.7576,0.8893,2e-05
146,0.0585,0.9353,0.002182,28.546749,21.717408,21.7763,0.8893,2e-05
147,0.0576,0.9248,0.001679,28.725758,21.728643,21.781,0.8889,2e-05
148,0.0576,1.0081,0.002571,28.741865,21.687058,21.747,0.8883,2e-05
149,0.0577,0.9371,0.001524,28.827186,21.643617,21.7098,0.8879,2e-05
150,0.0576,0.9247,0.003215,28.753756,21.619532,21.6918,0.8883,2e-05
151,0.0576,0.8589,0.001679,28.723655,21.670535,21.73,0.8882,2e-06
152,0.058,0.9504,0.001849,28.743892,21.658177,21.7191,0.8882,2e-06
153,0.0568,0.8925,0.00183,28.999331,21.654906,21.7154,0.8884,2e-06
154,0.0567,0.9106,0.001006,29.015464,21.665462,21.725,0.8886,2e-06
155,0.0565,0.9201,0.001514,29.008942,21.658076,21.7184,0.8884,2e-06
156,0.0559,0.9281,0.001908,29.053015,21.673589,21.7307,0.8887,2e-06
157,0.0564,0.9193,0.001515,29.006781,21.67805,21.7362,0.8887,2e-06
158,0.0561,1.0366,0.001848,29.047474,21.665768,21.7273,0.8882,2e-06
159,0.0564,0.8828,0.001958,29.008703,21.664069,21.726,0.8882,2e-06
160,0.0565,0.9029,0.00173,29.073687,21.667155,21.7283,0.8884,2e-06
161,0.057,0.8267,0.001676,28.89018,21.666094,21.7255,0.8887,2e-06
162,0.0564,0.8926,0.001282,28.963182,21.676927,21.735,0.8888,2e-06
163,0.0561,0.9062,0.001912,29.034656,21.678449,21.7378,0.8889,2e-06
164,0.0564,0.9229,0.000878,29.020847,21.677087,21.7377,0.8886,2e-06
165,0.0557,0.9605,0.001959,29.124576,21.676013,21.7362,0.8886,2e-06
166,0.0565,0.9125,0.000944,29.048267,21.669651,21.7282,0.8888,2e-06
167,0.0562,0.9621,0.001675,29.128148,21.674225,21.7335,0.8889,2e-06
168,0.0569,0.9524,0.002183,28.924666,21.686503,21.7449,0.8889,2e-06
169,0.0558,0.8227,0.00114,29.114484,21.69118,21.7486,0.8889,2e-06
170,0.056,0.9744,0.001473,29.093112,21.681396,21.7392,0.8889,2e-06
171,0.0562,0.893,0.001397,29.061153,21.672999,21.7305,0.8888,2e-06
172,0.0558,0.9674,0.001981,29.108731,21.670637,21.728,0.8887,2e-06
173,0.056,0.8618,0.000592,29.026748,21.670104,21.7277,0.8887,2e-06
174,0.0556,0.8824,0.001648,29.117785,21.666654,21.7263,0.8886,2e-06
175,0.0566,0.9773,0.001916,28.929915,21.656062,21.7162,0.8885,2e-06
176,0.0569,0.9151,0.002106,28.906608,21.668811,21.7288,0.8885,2e-06
177,0.0565,0.9332,0.001767,29.022347,21.678491,21.7378,0.8886,2e-06
178,0.0566,0.9575,0.001634,29.00915,21.684734,21.741,0.8889,2e-06
179,0.056,0.9366,0.0017,29.126445,21.68266,21.7401,0.8888,2e-06
180,0.0558,0.8817,0.001215,29.155619,21.681404,21.7407,0.8886,2e-06
181,0.0563,0.9158,0.001906,29.0662,21.672419,21.732,0.8887,2e-06
182,0.056,0.8368,0.001279,29.09339,21.667567,21.7266,0.8885,2e-06
183,0.0558,0.924,0.001568,29.159075,21.681639,21.7366,0.8888,2e-06
184,0.0566,0.8439,0.000994,28.971768,21.678615,21.7327,0.889,2e-06
185,0.0554,0.9563,0.001617,29.224321,21.682516,21.7407,0.8888,2e-06
186,0.0557,0.9693,0.000973,29.180487,21.683401,21.7417,0.8887,2e-06
187,0.0566,0.9235,0.001822,28.986127,21.679695,21.7387,0.8888,2e-06
188,0.0557,0.9421,0.001447,29.076906,21.675644,21.7354,0.8887,2e-06
189,0.0557,0.9441,0.001392,29.169136,21.669693,21.7305,0.8885,2e-06
190,0.0555,0.95,0.001677,29.202636,21.670088,21.7299,0.8885,2e-06
191,0.0565,0.9724,0.002116,29.001089,21.687045,21.7459,0.8887,2e-06
192,0.0564,0.906,0.001268,28.955532,21.690268,21.7471,0.889,2e-06
193,0.0557,0.8832,0.001384,29.196925,21.704629,21.7602,0.889,2e-06
194,0.0557,0.9928,0.001583,29.093072,21.695686,21.7533,0.8888,2e-06
195,0.0554,0.8507,0.001668,29.151678,21.691166,21.7493,0.8887,2e-06
196,0.0559,0.9512,0.001669,29.16819,21.687817,21.746,0.8886,2e-06
197,0.0568,0.947,0.001517,29.02005,21.676946,21.736,0.8885,2e-06
198,0.0564,0.9505,0.001307,29.086418,21.681355,21.7406,0.8885,2e-06
199,0.0563,0.9327,0.001341,29.094156,21.691674,21.7509,0.8886,2e-06
200,0.0562,0.9267,0.001521,29.071548,21.700484,21.7581,0.8888,2e-06
